narrator_id,flag_name,evidence_source,evidence_type,source_record_id,evidence_excerpt
1,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-1-7,"Memories of father's arrest by FBI, subsequent detention, family separation, and preparation for removal"
1,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-210-5,"Answering the so-called ""loyalty questionnaire"""
1,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-1-7,"Memories of father's arrest by FBI, subsequent detention, family separation, and preparation for removal"
10,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-8-8,A child's memories of father's arrest and detention following the attack on Pearl Harbor<p>This interview was conducted over tw
1008,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-516-12,"Seeing father's answers on the so-called ""loyalty questionnaire"""
1021,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-533-3,Father is taken to Tule Lake by an individual FBI agent
1032,family_separation_flag,registry,family_dispersion_across_camps,8-minidoka_nakata_1913_tatsuo,"minidoka,tule_lake"
104,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-103-13,"Father's arrest by FBI, impact on the family<p>At the time this interview was taped, Mr. Watanabe was recovering"
1064,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-phljacl-1-11-3,"Husband's interview about the so-called ""loyalty questionnaire"""
11,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-9-25,"Discussion about ""draft resisters"" vs. ""no-no boys"""
11,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-9-9,Witnessing pick-up of father by the FBI after the bombing of Pearl Harbor
114,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-116-4,"Responding to the so-called ""loyalty questionnaire"" at Tule Lake concentration camp, California<p>This interview is part of a collaborative"
117,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-119-6,"Responding ""no-no"" to so-called ""loyalty questionnaire""<p>This interview took place at the 2000 Tule Lake Pilgrimage in Klamath Falls, Oregon."
117,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-119-3,"Father picked up by FBI, detained at federal detention center in Lordsburg, New Mexico<p>This interview took plac"
118,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-120-6,"Controversy over the so-called ""loyalty questionnaire"": ""I know my civil rights were denied""<p>This interview took place at the 2000 Tule Lake"
119,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-121-4,"Administering the so-called ""loyalty questionnaire"" to camp inmates<p>This interview took place at the 2000 Tule Lake Pilgrimage in Klamath"
12,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-10-14,Father's arrest by the FBI following Pearl Harbor: a short goodbye and a three-year separation
12,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-10-14,Father's arrest by the FBI following Pearl Harbor: a short goodbye and a three-year separation
121,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-123-19,"The difficulty of responding to the so-called ""loyalty questionnaire""<p>As a teenager prior to World War II, began keeping scrapbooks with newspaper articles"
124,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-129-20,"Niseis' reaction to the so-called ""loyalty questionnaire"": ""Mostly, it was a confusion that developed gradually into anger""; deciding to answer ""y"
125,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-130-11,"Receiving draft classification 1-A; responding to so-called ""loyalty questionnaire"" with a qualified answer"
129,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-135-10::narrator_129,"Tosh's memory of father's love of early movie cameras, and discussion of items taken by the FBI during wartime raid"
13,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-11-9,Separation from siblings caught in Japan during the war<p>This interview was done outdoors in the Bainbridge Garde
130,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-135-10::narrator_130,"Tosh's memory of father's love of early movie cameras, and discussion of items taken by the FBI during wartime raid"
131,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-135-10::narrator_131,"Tosh's memory of father's love of early movie cameras, and discussion of items taken by the FBI during wartime raid"
133,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-140-17,"Memories of December 7, 1941: father taken by the FBI"
139,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1002-4-5,"Discussion of decision in camp to renounce U.S. citizenship, family's near-deportation to Japan<p>This interview was conducted by si"
142,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1002-9-5,"Frustration with the ""ambiguous"" and ""senseless"" questions on the so-called ""loyalty questionnaire""; posting suggested answers<p>This interview was conducted by sisters Emiko and Chizuko O"
145,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-146-21,"Thoughts on the so-called ""loyalty questionnaire"""
147,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-148-17,"FBI picks up father, ransacks family home"
150,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-152-20,"Remembering family's discussions involving the so-called ""loyalty questionnaire"""
164,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-122-22-1,"Discussion of the so-called ""loyalty questionnaire"" and the problems it posed for the Issei and Nisei<p>This interview was conducted by film"
170,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-154-18,"The so-called ""loyalty questionnaire"": mother wants Arthur to answer ""no-no"" to questions 27 and 28, has his answers changed b"
178,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-164-21,"The confusing questions 27 and 28 on the so-called ""loyalty questionnaire"""
178,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-164-11,Father's arrest by the FBI: targeted because of childhood friendship with Japanese admiral
18,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1002-8-15,"Discussion of the so-called ""loyalty questionnaire"": confusion over the nature of the questions<p>This interview was conducted by sisters Em"
180,family_separation_flag,registry,family_dispersion_across_camps,10-tulelake_yamakido_1922_joe,"jerome,tule_lake"
181,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-168-13,"Thoughts on the so-called ""loyalty questionnaire"": ""I thought it was just unreasonable"""
185,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-171-19,"Conflict in camp: father's considers going to Japan, the so-called ""loyalty questionnaire"""
19,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-19-5,"Prosecutor subpoenas parents as witnesses, holds them in the King County jail"
192,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-jamsj-2-4-10,"Returning to school after Pearl Harbor: classmates ""turned against me""; father taken in FBI raid<p>This interview was conducted by the Japanese American Museum of San Jose, and is p"
193,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-jamsj-2-5-8,"Thoughts on the so-called ""loyalty questionnaire"" and draft resisters<p>This interview was conducted by the Japanese American Museum of Sa"
197,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1006-1-7,"Losing mother to cancer, siblings get split up<p>This interview was conducted by the JC Legacy Project, a project of the Japanese Canadi"
214,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-189-23,"Answering the so-called ""loyalty questionnaire"""
233,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-4-10,"Recollections of the so-called ""loyalty questionnaire"""
234,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-5-13,"The unfairness of the so-called ""loyalty questionnaire"""
235,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-299-22,"Initially answering ""no-no"" on the so-called ""loyalty questionnaire"" before changing answers<p>This material is based upon work assisted by a grant from the"
238,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-9-5,"Observing tensions during the period of registration and so-called ""loyalty questionnaire"""
245,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-4-6,Father's arrest by the FBI
246,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-5-3,Memories of the FBI arrest of father<p>This material is based upon work assisted by a grant from the Department of the Interio
249,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-9-3,"Witnessing FBI's arrest of father, visiting him in the immigration building"
250,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-10-2,Father's arrest by the FBI
254,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-14-5,Father's arrest by the FBI following the bombing of Pearl Harbor
26,family_separation_flag,registry,family_dispersion_across_camps,4-amache_homma_1911_mutsu,"amache,heart_mountain"
268,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1001-26-6,"Signing the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
268,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-26-2,Father's arrest by the FBI after the bombing of Pearl Harbor<p>This material is based upon work assisted by a grant
27,family_separation_flag,registry,family_dispersion_across_camps,8-minidoka_hori_1918_takashi,"jerome,minidoka"
284,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1001-33-4,"Answering the so-called ""loyalty questionnaire""<p>This material is based upon work assisted by a grant from the Department of the Interi"
286,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1001-36-7,Father's arrest by FBI and preparation for camp<p>This material is based upon work assisted by a grant from the
287,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-202-10,"Thoughts on the so-called ""loyalty questionnaire"""
289,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-204-11,"Visiting father after his arrest by FBI and asking guard, ""What sort of justice is this?"""
292,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-207-20,"Confusion over the so-called ""loyalty questionnaire"""
293,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-208-25,Father's arrest by the FBI
294,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-487-17,"Introduction of the so-called ""loyalty questionnaire"" in camp"
296,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-211-18,Father's detention by the FBI
299,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-213-14,The difficulty of being separated from father
299,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-213-8,Father's pick-up by the FBI: taking belongings to him but not being allowed to see him
300,family_separation_flag,transcript,family_separation_keyword,ddr-densho-1000-214-4,Marriage and separation of parents
307,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-29-22,Dealing with Hawaiians and the 'no-no' issue
312,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1013-2-15,"Being asked to sign the so-called ""loyalty questionnaire"" outside of camp"
312,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1013-2-12,"Family's fears that father would be arrested by the FBI: ""Dad was petrified"""
314,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1013-4-8,Difficulties after father's pickup by FBI; preparing for mass removal
321,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-221-6,Father's arrest by the FBI on the day Pearl Harbor was bombed
324,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1000-469-9,"Finding out many years later that mother had answered ""no-no"" to the so-called ""loyalty questions"""
325,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-janm-13-6-13,"Father chooses to take family to Japan in response to the so-called ""loyalty questionnaire"""
328,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1015-2-19,"Witnessing tensions caused by the so-called ""loyalty questionnaire"""
330,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1015-4-22,"Observing the impact of the so-called ""loyalty questionnaire"""
330,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1015-4-15,Father's arrest by the FBI: feeling stunned
334,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1015-7-24,"The effects of the so-called ""loyalty questionnaire"""
335,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1013-7-24,"Answering ""no-no"" on the so-called ""loyalty questionnaire"" because mother wanted to go to Japan"
338,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-densho-1000-226-13,Father's arrest by the FBI; preparing for mass removal
339,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-32-14,"The controversy over the so-called ""loyalty questionnaire"""
344,family_separation_flag,transcript,family_separation_keyword,ddr-manz-1-37-8,"Parents' separation, caring for younger brother"
344,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-37-12,Witnessing the arrest of father by FBI
350,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-43-25::narrator_350,"The controversy surrounding the so-called ""loyalty questionnaire"""
350,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-43-10::narrator_350,Father's arrest by the FBI
351,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-43-25::narrator_351,"The controversy surrounding the so-called ""loyalty questionnaire"""
351,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-43-10::narrator_351,Father's arrest by the FBI
352,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-43-25::narrator_352,"The controversy surrounding the so-called ""loyalty questionnaire"""
352,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-43-10::narrator_352,Father's arrest by the FBI
357,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-densho-1015-9-20,"Answering ""no-no"" on the so-called ""loyalty questionnaire,"" then changing to ""yes-yes"""
362,parental_arrest_flag,transcript,parental_arrest_keyword,ddr-manz-1-44-4,The FBI's influence in father's firing from railroad job
366,loyalty_conflict_flag,transcript,loyalty_conflict_keyword,ddr-manz-1-48-21,"Thoughts on the so-called ""loyalty questionnaire"""
