narrator_id,n_scored_segments,n_scored_interviews,what_order_mean_embed,how_composure_mean_embed,dominant_type_3x2_summary,dominant_type_tie_flag,narrator_level_share_vector_3x2,scored_interview_ids_json
1,11,1,1.957054,0.531238,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.363636, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.636364}","[""ddr-densho-1000-1""]"
104,6,1,1.961546,0.529142,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.166667, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.666667}","[""ddr-densho-1000-103""]"
108,28,2,1.960481,0.513229,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.071429, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.25, ""Wounded Belonging"": 0.678571}","[""ddr-densho-1000-107"", ""ddr-densho-1000-131""]"
111,25,2,1.946091,0.523481,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.04, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.12, ""Wounded Belonging"": 0.84}","[""ddr-densho-1000-111"", ""ddr-densho-1000-112""]"
113,13,1,1.965851,0.529997,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 1.0}","[""ddr-densho-1000-114""]"
114,8,1,1.957350,0.515933,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.125, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.125, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-116""]"
116,3,1,1.955863,0.523121,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 1.0}","[""ddr-densho-1000-118""]"
117,10,1,1.957979,0.534351,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.1, ""Oppositional Citizenship"": 0.1, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.8}","[""ddr-densho-1000-119""]"
118,8,1,1.954748,0.528321,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.125, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.125, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-120""]"
120,4,1,1.933334,0.513325,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.25, ""Wounded Belonging"": 0.75}","[""ddr-densho-1000-122""]"
121,35,3,1.992678,0.526617,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.057143, ""Stigmatized Discomposure"": 0.085714, ""Wounded Belonging"": 0.857143}","[""ddr-densho-1000-123"", ""ddr-densho-1000-124"", ""ddr-densho-1000-125""]"
123,42,2,1.982681,0.534271,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.095238, ""Oppositional Citizenship"": 0.119048, ""Stigmatized Discomposure"": 0.095238, ""Wounded Belonging"": 0.690476}","[""ddr-densho-1000-128"", ""ddr-densho-1000-150""]"
124,21,1,2.010947,0.534584,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.047619, ""Oppositional Citizenship"": 0.380952, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-129""]"
125,19,1,1.986820,0.532506,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.052632, ""Oppositional Citizenship"": 0.263158, ""Stigmatized Discomposure"": 0.052632, ""Wounded Belonging"": 0.631579}","[""ddr-densho-1000-130""]"
126,19,1,1.968400,0.506261,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.315789, ""Wounded Belonging"": 0.684211}","[""ddr-densho-1000-132""]"
129,11,1,1.973475,0.519550,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.090909, ""Stigmatized Discomposure"": 0.090909, ""Wounded Belonging"": 0.818182}","[""ddr-densho-1000-137""]"
130,16,1,1.969909,0.505498,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.125, ""Stigmatized Discomposure"": 0.25, ""Wounded Belonging"": 0.625}","[""ddr-densho-1000-136""]"
131,10,1,1.946039,0.515961,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.2, ""Wounded Belonging"": 0.8}","[""ddr-densho-1000-138""]"
132,16,1,1.955358,0.516799,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.1875, ""Wounded Belonging"": 0.8125}","[""ddr-densho-1000-139""]"
133,14,1,1.932353,0.512209,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.071429, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.357143, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-140""]"
135,15,1,1.963743,0.508291,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.333333, ""Wounded Belonging"": 0.666667}","[""ddr-densho-1000-142""]"
136,14,1,1.954493,0.500324,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.428571, ""Wounded Belonging"": 0.571429}","[""ddr-densho-1000-143""]"
139,17,1,1.952944,0.516108,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.176471, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.294118, ""Wounded Belonging"": 0.529412}","[""ddr-densho-1000-165""]"
14,4,1,1.958125,0.508324,,1,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.5, ""Wounded Belonging"": 0.5}","[""ddr-densho-1000-12""]"
147,18,1,1.942757,0.523084,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.111111, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.888889}","[""ddr-densho-1000-148""]"
149,14,1,1.935695,0.519522,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.071429, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.071429, ""Wounded Belonging"": 0.857143}","[""ddr-densho-1000-151""]"
150,18,1,1.933446,0.514158,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.055556, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.166667, ""Wounded Belonging"": 0.777778}","[""ddr-densho-1000-152""]"
151,11,1,1.942823,0.517645,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.090909, ""Wounded Belonging"": 0.909091}","[""ddr-densho-1000-153""]"
170,20,1,1.959777,0.531492,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.0, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 1.0}","[""ddr-densho-1000-154""]"
174,36,2,1.975773,0.516672,Wounded Belonging,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.055556, ""Stigmatized Discomposure"": 0.083333, ""Wounded Belonging"": 0.861111}","[""ddr-densho-1000-157"", ""ddr-densho-1000-158""]"
18,6,1,2.053083,0.543928,Oppositional Citizenship,0,"{""Ambivalent Estrangement"": 0.0, ""Diffuse Unease"": 0.0, ""Guarded Vigilance"": 0.0, ""Oppositional Citizenship"": 0.666667, ""Stigmatized Discomposure"": 0.0, ""Wounded Belonging"": 0.333333}","[""ddr-densho-1000-16""]"
