track,outcome,spec_id,spec_label,hypothesis_family,treatment_columns,n_treatments,weight_status,weight_column,sample_n,engine_target,x_block_id,x_exclude_columns,status,notes,folds,nuisance_learner,x_feature_count,engine_impl,coefficient_rows,outcome_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,error_message
track1_ilr,ilr_joint6_1,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.1881786877413849,0.15324540822843882,0.0026223393068790513,3362.755842718917,
track1_ilr,ilr_joint6_1,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.1881786877413849,0.9904288049220813,0.0008232120324849213,20.816097403322196,
track1_ilr,ilr_joint6_1,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.1881786877413849,0.21253483747776003,0.003946496489463325,16916.72853264391,
track1_ilr,ilr_joint6_1,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.2188011491811006,0.2764585705093821,0.017658678372141634,168.80700358644745,
track1_ilr,ilr_joint6_2,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.22653342444146918,0.15324540822843882,0.0011967142123910923,3362.755842718917,
track1_ilr,ilr_joint6_2,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.22653342444146918,0.9904288049220813,0.0003549276255018219,20.816097403322196,
track1_ilr,ilr_joint6_2,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.22653342444146918,0.21253483747776003,0.005227022073471477,16916.72853264391,
track1_ilr,ilr_joint6_2,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.24036710808858208,0.2764585705093821,0.0032617198074784692,168.80700358644745,
track1_ilr,ilr_joint6_3,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.19834141320306475,0.15324540822843882,0.0008465804870672056,3362.755842718917,
track1_ilr,ilr_joint6_3,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.19834141320306475,0.9904288049220813,0.0022196776637780635,20.816097403322196,
track1_ilr,ilr_joint6_3,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.19834141320306475,0.21253483747776003,0.016361370382748097,16916.72853264391,
track1_ilr,ilr_joint6_3,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.26821885565430414,0.2764585705093821,0.02102519950467774,168.80700358644745,
track1_ilr,ilr_joint6_4,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.20533088869177507,0.15324540822843882,0.0028621899566846354,3362.755842718917,
track1_ilr,ilr_joint6_4,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.20533088869177507,0.9904288049220813,0.0017841346973568317,20.816097403322196,
track1_ilr,ilr_joint6_4,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.20533088869177507,0.21253483747776003,0.0053483692610778455,16916.72853264391,
track1_ilr,ilr_joint6_4,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.16092460805300868,0.2764585705093821,0.014457275612900444,168.80700358644745,
track1_ilr,ilr_joint6_5,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.2884051631676394,0.15324540822843882,0.011892407800625171,3362.755842718917,
track1_ilr,ilr_joint6_5,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.2884051631676394,0.9904288049220813,0.00011204528248986989,20.816097403322196,
track1_ilr,ilr_joint6_5,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.2884051631676394,0.21253483747776003,0.016038333786693504,16916.72853264391,
track1_ilr,ilr_joint6_5,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.3326326422441679,0.2764585705093821,0.0385528449804321,168.80700358644745,
track1_ilr,ilr_what3_1,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.2714034641293974,0.15324540822843882,0.0012714270701235098,3362.755842718917,
track1_ilr,ilr_what3_1,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.2714034641293974,0.9904288049220813,7.948996807893849e-06,20.816097403322196,
track1_ilr,ilr_what3_1,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.2714034641293974,0.21253483747776003,0.004396435123214415,16916.72853264391,
track1_ilr,ilr_what3_1,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.36793182524980605,0.2764585705093821,0.0012772958835539638,168.80700358644745,
track1_ilr,ilr_what3_2,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.16606644399875625,0.15324540822843882,0.002204186583068646,3362.755842718917,
track1_ilr,ilr_what3_2,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.16606644399875625,0.9904288049220813,0.0001333189034814497,20.816097403322196,
track1_ilr,ilr_what3_2,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.16606644399875625,0.21253483747776003,0.004792307405021234,16916.72853264391,
track1_ilr,ilr_what3_2,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.12700214946588484,0.2764585705093821,0.008843325220001974,168.80700358644745,
track1_ilr,ilr_joint6_1,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,ipw,ipw_weight_v1,632,dml_plr,primary,,estimated,Primary joint timing/dosage/severity comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.29146990328561695,0.20750780176198033,0.018204673460980092,3477.635084041861,
track1_ilr,ilr_joint6_1,timing_dummy,Adolescent timing contrast,H1,adolescent_exposure_flag,1,ipw,ipw_weight_v1,632,dml_plr,primary,,estimated,Sensitive-period timing contrast.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.29146990328561695,0.9964148817704993,0.00010022183722380174,21.57162452905731,
track1_ilr,ilr_joint6_1,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,ipw,ipw_weight_v1,632,dml_plr,primary,,estimated,Interaction model for timing-by-dosage and timing-by-severity.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.29146990328561695,0.26776212318933684,0.017909383573035065,17516.61287502029,
track1_ilr,ilr_joint6_1,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,ipw,ipw_weight_v1,632,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.35885494675539364,0.26440024017715175,0.02425495995297766,187.64958984672765,
