track,outcome,spec_id,spec_label,hypothesis_family,treatment_columns,n_treatments,weight_status,weight_column,sample_n,engine_target,x_block_id,x_exclude_columns,status,notes,folds,nuisance_learner,x_feature_count,engine_impl,coefficient_rows,outcome_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,error_message
track2,authority_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary Track 2 joint mechanism comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.2839488229017715,0.15324540822843882,0.02044951604218137,3362.755842718917,
track2,authority_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Timing-only contrast for Track 2 continuous outcomes.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.2839488229017715,0.9904288049220813,0.0008599414678616135,20.816097403322196,
track2,authority_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for Track 2.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.2839488229017715,0.21253483747776003,0.02543364152968597,16916.72853264391,
track2,authority_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.2800422256446051,0.2764585705093821,0.009335024105157186,168.80700358644745,
track2,belonging_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary Track 2 joint mechanism comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,0.04847418737619713,0.15324540822843882,0.010485328470587585,3362.755842718917,
track2,belonging_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Timing-only contrast for Track 2 continuous outcomes.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,0.04847418737619713,0.9904288049220813,2.203104061582195e-05,20.816097403322196,
track2,belonging_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for Track 2.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,0.04847418737619713,0.21253483747776003,0.008398449794817187,16916.72853264391,
track2,belonging_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.1665773772208392,0.2764585705093821,0.016587784078367807,168.80700358644745,
track2,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,unweighted,,633,dml_plr,primary,,estimated,Primary Track 2 joint mechanism comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.12019568313229412,0.15324540822843882,0.0018047043353552894,3362.755842718917,
track2,how_multimodal_score_mean,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,1,unweighted,,633,dml_plr,primary,,estimated,Timing-only contrast for Track 2 continuous outcomes.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.12019568313229412,0.9904288049220813,0.0007552403086987791,20.816097403322196,
track2,how_multimodal_score_mean,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,unweighted,,633,dml_plr,primary,,estimated,Interaction model for Track 2.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.12019568313229412,0.21253483747776003,0.00463152109798326,16916.72853264391,
track2,how_multimodal_score_mean,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,unweighted,,633,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.24600538855424015,0.2764585705093821,0.028947819904673988,168.80700358644745,
track2,authority_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,3,ipw,ipw_weight_v1,632,dml_plr,primary,,estimated,Primary Track 2 joint mechanism comparison.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,3,-0.33431890495982186,0.20750780176198033,0.0432590885779045,3477.635084041861,
track2,authority_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,1,ipw,ipw_weight_v1,632,dml_plr,primary,,estimated,Timing-only contrast for Track 2 continuous outcomes.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,1,-0.33431890495982186,0.9964148817704993,0.0066385125924811605,21.57162452905731,
track2,authority_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,5,ipw,ipw_weight_v1,632,dml_plr,primary,,estimated,Interaction model for Track 2.,5,lightgbm_regressor,30,crossfit_plr_residual_ols_hc3_v1,5,-0.33431890495982186,0.26776212318933684,0.054136718542660556,17516.61287502029,
track2,authority_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,3,ipw,ipw_weight_v1,632,dml_plr,h5_no_interview_year_controls,interview_year;age_at_interview,estimated,Interview-year moderation with direct interview-year controls removed from X to avoid exact collinearity.,5,lightgbm_regressor,28,crossfit_plr_residual_ols_hc3_v1,3,-0.3470424978333899,0.26440024017715175,0.0109969588421861,187.64958984672765,
