track,outcome,spec_id,spec_label,hypothesis_family,treatment_columns,weight_status,weight_column,sample_n,engine_target,status,notes
track2,authority_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,unweighted,,633,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,authority_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,authority_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,authority_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,unweighted,,633,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,authority_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,authority_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,authority_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,unweighted,,633,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,authority_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,authority_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,authority_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,unweighted,,633,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,authority_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,authority_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,belonging_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,unweighted,,633,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,belonging_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,belonging_stance,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,belonging_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,unweighted,,633,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,belonging_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,belonging_stance,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,belonging_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,unweighted,,633,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,belonging_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,belonging_stance,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,belonging_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,unweighted,,633,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,belonging_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,belonging_stance,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,unweighted,,633,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,age_at_first_exposure;total_days_incarcerated;severity_index_v2,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Primary Track 2 joint mechanism comparison.
track2,how_multimodal_score_mean,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,unweighted,,633,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,how_multimodal_score_mean,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,how_multimodal_score_mean,timing_dummy,Adolescent timing contrast,H1_H2,adolescent_exposure_flag,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Timing-only contrast for Track 2 continuous outcomes.
track2,how_multimodal_score_mean,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,unweighted,,633,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,how_multimodal_score_mean,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,how_multimodal_score_mean,amplification,Timing amplification interactions,H4,adolescent_exposure_flag;total_days_incarcerated;severity_index_v2;adolescent_x_dosage_v1;adolescent_x_severity_v1,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Interaction scaffold for Track 2.
track2,how_multimodal_score_mean,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,unweighted,,633,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,how_multimodal_score_mean,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,ipw,ipw_weight_v1,632,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
track2,how_multimodal_score_mean,expressive_environment,Interview-year moderation,H5,adolescent_exposure_flag;interview_year_centered_v1;adolescent_x_interview_year_centered_v1,rake,rake_weight_v1,632,doubleml_plr,scaffold_ready,Expressive-environment moderation scaffold.
